,ADF_Statistic_Original,p_value_Original,Stationary_Original,ADF_Statistic_1st_Diff,p_value_1st_Diff,Stationary_1st_Diff,ADF_Statistic_2nd_Diff,p_value_2nd_Diff,Stationary_2nd_Diff,"ARIMA(1, 1, 1)_RMSE","ARIMA(1, 0, 1)_RMSE","ARIMA(2, 1, 1)_RMSE","ARIMA(2, 2, 1)_RMSE","ARIMA(2, 2, 2)_RMSE","ARIMA(2, 0, 1)_RMSE",Best_ARIMA,Best_ARIMA_RMSE,"SARIMAX((0, 0, 0), (0, 0, 1, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 0, 12))_RMSE","SARIMAX((0, 0, 0), (1, 0, 0, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 0, 12))_RMSE",Best_SARIMAX,Best_SARIMAX_RMSE,Best_Model,Best_Model_RMSE,May_2024_Forecast
sku21,-6.242562785486353,4.658769511601307e-08,Yes,-4.3342180595710325,0.000387356483508987,Yes,-4.610561599433874,0.00012350191814214194,Yes,1061.3007321124483,1153.9769146813303,951.9813169124549,1386.7209591929977,911.7104577711015,1101.238461231388,"(2, 2, 2)",911.7104577711015,2014.6406604367965,2910.160934839629,2216.3225526613646,968.8759996179807,2692.5094065149965,2871.225827407965,"((0, 0, 0), (0, 1, 1, 12))",968.8759996179807,ARIMA,911.7104577711015,1435.4942284294088
sku22,-2.43164599786125,0.13300301117683705,No,-8.865398952506382,1.4450465773037844e-14,Yes,-6.535615841014816,9.625716222233118e-09,Yes,258.7903385947423,252.27665050692895,260.8748459956364,261.9228413812112,263.083015953094,257.2671570561824,"(1, 0, 1)",252.27665050692895,201.3348925243019,526.598518797765,189.09285639211592,369.5347828131491,309.24809533444676,466.7744547872858,"((0, 0, 0), (1, 0, 0, 12))",189.09285639211592,SARIMAX,189.09285639211592,-63.04992588775318
sku23,-4.0527538472271605,0.0011581221391504378,Yes,-8.49178724776888,1.3074901743355514e-13,Yes,-4.772228786721535,6.144415047765363e-05,Yes,1069.4280558673502,919.842620391346,1564.1950449745993,1524.2500169697214,1199.7221837610014,968.6191818785231,"(1, 0, 1)",919.842620391346,1214.5076967329296,1433.4874141989062,1022.2065770149563,332.427053955921,546.0264934253538,1323.0033944022737,"((0, 0, 0), (0, 1, 1, 12))",332.427053955921,SARIMAX,332.427053955921,810.5242516149415
sku24,-0.5427234178920046,0.8834062507737174,No,-5.436597333480866,2.836513752192963e-06,Yes,-4.544467445793044,0.00016329071801364452,Yes,4679.698529146958,4646.53699514184,4588.26863305978,4668.048708079288,4640.922698962905,4583.037513730922,"(2, 0, 1)",4583.037513730922,4384.874677509494,3207.7215953591317,4279.833714600342,3813.743271179108,3912.100710777036,3624.3797298106065,"((0, 0, 0), (0, 1, 0, 12))",3207.7215953591317,SARIMAX,3207.7215953591317,1693.0
sku25,-2.989427543533478,0.03589360039138686,Yes,-3.574894478691179,0.006259533495823299,Yes,-7.684000179871907,1.4781473247612988e-11,Yes,457.48567818248245,470.66622687724765,471.9154412216338,606.9554699835805,426.7308819483558,476.66862236299676,"(2, 2, 2)",426.7308819483558,1191.401997004022,1011.5963457163468,791.1143885199768,512.3751084359421,510.1246820439501,521.1521511005272,"((0, 0, 0), (1, 1, 1, 12))",510.1246820439501,ARIMA,426.7308819483558,1040.0089796026566
sku26,-0.6661000778396784,0.8553360961847598,No,-12.144562811988004,1.6219010723731414e-22,Yes,-3.9773010126647343,0.0015341466335726125,Yes,125.33658787568474,142.9825286773952,130.15724827713802,123.87483292546806,183.1147416992068,124.74159652227418,"(2, 2, 1)",123.87483292546806,939.4215309284663,315.0558151608484,143.0569288525786,814.0989586822161,732.7802607808811,307.6046593746686,"((0, 0, 0), (1, 0, 0, 12))",143.0569288525786,ARIMA,123.87483292546806,14.843675482551248
sku27,-2.5031798496230024,0.11470254884826248,No,-4.946914355876829,2.8237454828466615e-05,Yes,-6.039655724627387,1.3555565316306412e-07,Yes,209.2370602352616,211.40391830025382,213.0648023259167,258.2930972183258,273.97341901653425,232.44535078515014,"(1, 1, 1)",209.2370602352616,167.27239375464632,527.3297513574089,59.34060544439411,1348.3978879537572,1457.8390690932883,1385.8911752953522,"((0, 0, 0), (1, 0, 0, 12))",59.34060544439411,SARIMAX,59.34060544439411,-18.369465990364766
sku28,-1.8666744865030398,0.3478971587138676,No,-10.244573004357033,4.6538530320013014e-18,Yes,-4.602866790326058,0.0001276071486630926,Yes,110.50797433446039,112.51839110812828,104.91822054191854,104.05284484978692,297.98929402623133,104.18450000896577,"(2, 2, 1)",104.05284484978692,2769.8451520060744,434.1378429331709,112.06975043891092,1245.3721401897053,2747.371219875979,1704.282459424652,"((0, 0, 0), (1, 0, 0, 12))",112.06975043891092,ARIMA,104.05284484978692,75.84121095063145
sku29,-1.4253446470789974,0.5700670859922623,No,-3.288265734691087,0.01541121406157437,Yes,-4.426302057444065,0.0002665838890460637,Yes,50.37308066026064,62.351832496202505,60.64605317028808,87.08117410231507,90.45533280235591,65.13458833622808,"(1, 1, 1)",50.37308066026064,1082.02968061645,66.87052165690551,14.014445722920623,507.38319720981735,589.3195855129409,159.61133639481005,"((0, 0, 0), (1, 0, 0, 12))",14.014445722920623,SARIMAX,14.014445722920623,5.845290724059132
sku30,-1.7364385095960178,0.4124427482938715,No,-3.5446892254587503,0.006910873537930979,Yes,-4.051023636356678,0.001165683367814388,Yes,233.80080057509895,258.0936961347198,227.0935525951168,174.54537779702025,471.99836082734686,268.28857952108535,"(2, 2, 1)",174.54537779702025,205.85273586837195,738.1354889178543,204.38159590956644,538.7854085420255,654.8087360617702,347.64701133166,"((0, 0, 0), (1, 0, 0, 12))",204.38159590956644,ARIMA,174.54537779702025,259.43184770339076
